ISO,Queue ID,Project Name,State,County,Capacity (MW),Queue Date,Withdrawn Date,Generation Type,search_text,withdraw_year,Score,in_dc_state,matched_owner,is_dc_adjacent,ai_era_large,matched_dc,match_type,dc_epoch_year,years_before_dc
NYISO,1543,Blue Sky Interconnect 2,NY,Brooklyn,2620.0,2023-03-28 00:00:00+00:00,2023-08-31 00:00:00+00:00,Wind,"Blue Sky Interconnect, LLC Blue Sky Interconnect 2",2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1337,Atlantic Shores Offshore Wind Bight 1,NY,Kings,2100.0,2022-02-25 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"Atlantic Shores Offshore Wind Bight, LLC Atlantic Shores Offshore Wind Bight 1",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1338,Atlantic Shores Offshore Wind Bight 2,NY,Richmond,2100.0,2022-02-25 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"Atlantic Shores Offshore Wind Bight, LLC Atlantic Shores Offshore Wind Bight 2",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1339,Atlantic Shores Offshore Wind Bight 3,NY,Suffolk,2100.0,2022-02-25 00:00:00+00:00,2022-06-30 00:00:00+00:00,Wind,"Atlantic Shores Offshore Wind Bight, LLC Atlantic Shores Offshore Wind Bight 3",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1340,Atlantic Shores Offshore Wind Bight 4,NY,Kings,2100.0,2022-02-25 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"Atlantic Shores Offshore Wind Bight, LLC Atlantic Shores Offshore Wind Bight 4",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1341,Atlantic Shores Offshore Wind Bight 5,NY,Richmond,2100.0,2022-02-25 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"Atlantic Shores Offshore Wind Bight, LLC Atlantic Shores Offshore Wind Bight 5",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
CAISO,1752,ARIZONA A1,AZ,MARICOPA,2000.0,2020-04-15 07:00:00+00:00,2021-05-03 07:00:00+00:00,Storage + Photovoltaic,ARIZONA A1,2021.0,2,True,,False,True,Microsoft Goodyear (state only),state only,,
NYISO,1129,Phoenix,NY,Oneida-Manhattan & Bronx,2000.0,2021-01-21 00:00:00+00:00,2021-07-31 00:00:00+00:00,DC Transmission,"Boundless Energy NY, LLC Phoenix",2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1144,HG-Phoenix,NY,"Erie, Onondaga,NY, KIngs",2000.0,2021-02-18 00:00:00+00:00,2021-12-31 00:00:00+00:00,DC Transmission,"Boundless Energy NY, LLC HG-Phoenix",2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1189,OW Ocean Winds East 3,NY,Nassau,1600.0,2021-05-27 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"OW Ocean Winds East, LLC OW Ocean Winds East 3",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1190,OW Ocean Winds East 4,NY,Brooklyn,1600.0,2021-05-28 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"Bluepoint Wind, LLC. OW Ocean Winds East 4",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
